BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
304637, 1921 AVENUE I BROOKLYN NY, 11230, 2020, 0, ZC230080OM, OM, CLOSED, 03/31/2011, 10/06/2011, GP, RXA-000810-19, BURNER, 20000.00, 0.00, 01/20/2009
304637, 1921 AVENUE I BROOKLYN NY, 11230, 2020, 0, ZC230080OM, OM, CLOSED, 03/31/2011, 10/06/2011, GP, RXA-000810-19, POINTING, 6000.00, 6000.00, 05/25/2010
304637, 1921 AVENUE I BROOKLYN NY, 11230, 2020, 0, CX230099OM, OM, CLOSED, 12/26/2014, 12/17/2015, GP, ROM-00079-15, TV/SECURITY SYSTEM, 15757.20, 13757.20, 12/24/2012
304637, 1921 AVENUE I BROOKLYN NY, 11230, 2020, 0, CX230099OM, OM, CLOSED, 12/26/2014, 12/17/2015, GP, ROM-00079-15, BACKFLOW PREVENTER, 7000.00, 6765.00, 09/04/2014
312330, 2901 AVENUE I BROOKLYN NY, 11210, 2019, 0, YI230007X, X, CLOSED, 09/14/2010, 12/15/2010, CW, RX-00001-12
304100, 3021 AVENUE I BROOKLYN NY, 11210, 2018, 3, CU230019X, X, CLOSED, 09/04/2014, 09/10/2014, CW, RX-00006-14
304100, 3021 AVENUE I BROOKLYN NY, 11210, 2018, 3, EU230136X, X, CLOSED, 09/20/2016, 10/05/2016, CW, RX-00006-16
304100, 3021 AVENUE I BROOKLYN NY, 11210, 2018, 3, EV230033X, X, CLOSED, 10/14/2016, 10/17/2016, CW, RX-00006-16
342733, 3402 AVENUE I BROOKLYN NY, 11210, 2020, 0, AR210034X, X, CLOSED, 06/22/2012, 07/25/2012, CW, RX-00010-12
300272, 1014 AVENUE J BROOKLYN NY, 11230, 2020, 0, DR230100OM, OM, CLOSED, 06/10/2015, 03/17/2016, GR, ROM-00131-16, NEW ROOF, 75610.00, 75610.00, 05/15/2014
